ID,SMILES,Gen,FuncGroup,Formula,SAScore,MolWt,LogP,LipinskiViolations,QEDViolations,GhoseViolations,VeberViolations,REOSViolations,RuleOf3Violations,HDonors,HAcceptors,RotBonds,NumAtoms,MolarRefractivity,TPSA,FormalCharge,NumHeavyAtoms,NumRings,PAINSFilter,BRENKFilter,BRENKMatches,MinBindingEnergy,AvgBindingEnergy,SynthSuccessProb,RetroSolved,RetroPrecursors,RetroSteps,image_path
1346881,Cc1cc(C(=O)NC(=O)Nc2cccc(-c3nn[nH]n3)c2)cc(N2CCN(C(=O)c3ncoc3-c3cccc(F)c3)CC2)n1,7.0,Halogen,C29H25FN10O4,3.0,596.2,3.3,1.0,2.0,2.0,1.0,1.0,4.0,3.0,10.0,6.0,44.0,155.1,175.1,0.0,44.0,6.0,True,True,,-9.2,-8.6,0.975,True,4.0,4.0,z_tmp/DSX_Strctures/1346881.png
1343294,Cc1ccc(C(=O)NCCc2ccc(C(=O)Nc3nn[nH]n3)cn2)cc1Nc1ccc(C(F)(F)F)nc1,5.0,Amine,C23H20F3N9O2,2.7,511.2,3.3,1.0,2.0,1.0,1.0,1.0,5.0,4.0,8.0,8.0,37.0,126.1,150.5,0.0,37.0,4.0,True,True,,-9.2,-8.4,0.956,True,4.0,6.0,z_tmp/DSX_Strctures/1343294.png
1341821,Cc1ccc(C(=O)COc2ccc(C(=O)Nc3nn[nH]n3)cn2)cc1NC(=O)c1ccoc1-c1ccccc1,4.0,,C27H21N7O5,2.7,523.2,3.9,1.0,2.0,2.0,1.0,2.0,4.0,3.0,9.0,9.0,39.0,139.5,165.0,0.0,39.0,5.0,True,True,,-9.2,-8.3,0.963,True,4.0,5.0,z_tmp/DSX_Strctures/1341821.png
1344512,Cc1ccc(C(=O)COc2ccc(NC(=O)CNC(=O)c3ncoc3-c3ccc(F)cc3)nn2)nc1,6.0,Halogen,C24H19FN6O5,2.8,490.1,2.6,0.0,2.0,1.0,1.0,1.0,3.0,2.0,9.0,9.0,36.0,123.7,149.2,0.0,36.0,4.0,True,True,,-9.2,-8.0,0.963,True,4.0,5.0,z_tmp/DSX_Strctures/1344512.png
1351438,O=C(Nc1ccc(-c2cccc(-c3cccc(-c4nn[nH]n4)c3)c2)cc1)Nc1cccc(-c2cccc(-c3nn[nH]n3)c2)c1,10.0,,C33H24N10O,2.6,576.2,6.7,2.0,3.0,3.0,1.0,2.0,5.0,4.0,7.0,7.0,44.0,168.2,150.1,0.0,44.0,7.0,True,True,,-9.2,-8.7,0.963,True,6.0,5.0,z_tmp/DSX_Strctures/1351438.png
1341493,O=C(Nc1cccc(Cn2nnnc2-c2ccc(Cl)cc2)n1)c1cccc(-n2cnnn2)c1,4.0,Halogen,C21H15ClN10O,2.6,458.1,2.7,0.0,2.0,0.0,0.0,0.0,3.0,1.0,10.0,6.0,33.0,118.7,129.2,0.0,33.0,5.0,True,True,,-9.2,-8.7,0.956,True,4.0,6.0,z_tmp/DSX_Strctures/1341493.png
1341749,O=C(Nc1cccc(-c2nn[nH]n2)c1)c1ccc(C(=O)Nc2cccc(S(=O)(=O)c3cccc(-c4nn[nH]n4)c3)c2)cc1,4.0,,C28H20N10O4S,2.7,592.1,3.4,1.0,2.0,2.0,1.0,1.0,5.0,4.0,10.0,8.0,43.0,153.5,201.3,0.0,43.0,6.0,True,True,,-9.2,-8.8,0.975,True,4.0,4.0,z_tmp/DSX_Strctures/1341749.png
1344355,CC(CCc1cccc(-c2cccc(C(=O)Nc3nn[nH]n3)c2)c1)Nc1cccc(-c2nn[nH]n2)c1,6.0,Amine,C25H24N10O,3.1,480.2,3.7,0.0,2.0,2.0,1.0,1.0,5.0,4.0,8.0,9.0,36.0,135.0,150.1,0.0,36.0,5.0,True,True,,-9.2,-8.7,0.963,True,4.0,5.0,z_tmp/DSX_Strctures/1344355.png
1344328,O=C(Cc1ccc(C(=O)N2CCN(C(=O)Nc3nn[nH]n3)CC2)cc1)Nc1cccc(-c2nn[nH]n2)c1,6.0,,C22H22N12O3,2.6,502.2,0.6,1.0,2.0,1.0,1.0,1.0,4.0,4.0,9.0,6.0,37.0,129.1,190.7,0.0,37.0,5.0,True,True,,-9.2,-8.2,0.975,True,5.0,4.0,z_tmp/DSX_Strctures/1344328.png
1340884,O=C(Nc1cccc(S(=O)(=O)c2cc(-c3nn[nH]n3)ccn2)c1)c1cccc(Oc2cccc(C(F)(F)F)n2)c1,3.0,,C25H16F3N7O4S,2.9,567.1,4.6,1.0,2.0,2.0,1.0,1.0,4.0,2.0,9.0,7.0,40.0,133.0,152.7,0.0,40.0,5.0,True,True,,-9.2,-8.8,0.963,True,4.0,5.0,z_tmp/DSX_Strctures/1340884.png
